line_text,category,style,context,stage,target_gender,source_type,quality_score,success_rate,has_emoji,has_question,has_compliment
"Kama ni kukosa simu, ningekupa yangu with unlimited minutes.",cheesy,kenyan,opening,initial,female,manual_entry,3.3,0.55,0,0,0
"Wewe ni kama satellite - you make my world go round.",smooth,mixed,compliment,initial,female,manual_entry,4.3,0.73,0,0,1
"Nimeku-block distractions, you're my main focus.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.78,0,0,1
"Ukinitaka niku-backup, because losing you isn't an option.",romantic,mixed,followup,advanced,female,manual_entry,4.6,0.77,0,0,1
"Wewe ni kama solar panel - unanipa power.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.71,0,0,1
"Nimeku-silence notifications, your voice is all I want.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.81,0,0,1
"Sema nikikupa number yangu, uta-i-save kwa nani?",playful,sheng,opening,initial,female,manual_entry,4.1,0.68,0,1,0
"Unajua hata darasa lingine, but mimi niko kwa class yako.",clever,sheng,response,middle,female,manual_entry,4.3,0.72,0,0,0
"Kama ni kukosa baiskeli, ningekuchukua piggy-back.",cheesy,kenyan,opening,initial,female,manual_entry,3.2,0.54,0,0,0
"Wewe ni kama generator - unaninipa light giza.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.7,0,0,1
"Nimeku-close other tabs, you're my homepage.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.78,0,0,1
"Ukinitaka niku-cache, for faster access always.",playful,mixed,followup,middle,female,manual_entry,4.0,0.67,0,0,0
"Wewe ni kama emergency exit - you show me the way.",smooth,mixed,compliment,initial,female,manual_entry,4.2,0.71,0,0,1
"Nimeku-minimize everything else, you're my main window.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.79,0,0,1
"Sema nikikupigia, uta-jibu ama uta-forward?",playful,sheng,opening,initial,female,manual_entry,4.0,0.65,0,1,0
"Unajua hata kama ni fake account, bado ningeku-follow.",bold,sheng,response,middle,female,manual_entry,3.9,0.64,0,0,1
"Kama ni kukosa dawa, ningeku-treat with care.",cheesy,kenyan,opening,initial,female,manual_entry,3.1,0.53,0,0,0
"Wewe ni kama calculator - you solve my problems.",smooth,mixed,compliment,initial,female,manual_entry,4.0,0.69,0,0,1
"Nimeku-book for next year, because you're worth waiting for.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Are you a parking ticket? Because you have FINE written all over you.",cheesy,international,opening,initial,female,website,3.5,0.5,0,1,1
"If you were a triangle you'd be acute one.",clever,international,opening,initial,female,website,4.0,0.6,0,0,0
"Is your name Google? Because you have everything I'm searching for.",cheesy,international,opening,initial,female,website,3.8,0.55,0,1,1
"Are you made of copper and tellurium? Because you're Cu-Te.",clever,international,opening,initial,female,website,4.1,0.58,0,1,0
"Do you have a map? I keep getting lost in your eyes.",cheesy,international,opening,initial,female,website,3.2,0.45,0,1,1
"Is your dad a boxer? Because you're a knockout!",cheesy,international,opening,initial,female,website,3.0,0.4,0,1,1
"Are you French? Because Eiffel for you.",clever,international,opening,initial,female,website,4.2,0.62,0,1,0
"Do you like Star Wars? Because Yoda one for me!",funny,international,opening,initial,neutral,website,3.9,0.65,0,1,0
"Are you a time traveler? Because I see you in my future.",romantic,international,opening,initial,female,website,4.5,0.7,0,1,0
"Is your name Wi-fi? Because I'm really feeling a connection.",cheesy,international,opening,initial,female,website,3.6,0.5,0,1,0
"Do you believe in love at first sight, or should I walk by again?",playful,international,opening,initial,female,website,4.3,0.68,0,1,0
"Are you a bank loan? Because you have my interest.",clever,international,opening,initial,female,website,4.0,0.6,0,1,0
"Is there an airport nearby or is that just my heart taking off?",cheesy,international,opening,initial,female,website,3.1,0.42,0,1,0
"Do you have a Band-Aid? I just scraped my knee falling for you.",cheesy,international,opening,initial,female,website,3.3,0.44,0,1,1
"Are you a campfire? Because you're hot and I want s'more.",cheesy,international,opening,initial,female,website,3.4,0.46,0,1,1
"Is your dad an artist? Because you're a masterpiece.",smooth,international,compliment,initial,female,website,4.4,0.72,0,1,1
"Do you have a pencil? Because I want to erase your past and write our future.",romantic,international,opening,initial,female,website,4.6,0.75,0,1,0
"Are you a camera? Because every time I look at you, I smile.",cheesy,international,opening,initial,female,website,3.5,0.48,0,1,1
"Is your name Chapstick? Because you're da balm!",funny,international,opening,initial,neutral,website,3.8,0.63,0,1,0
"Do you like raisins? How do you feel about a date?",clever,international,opening,initial,female,website,4.1,0.64,0,1,0
"Are you a magician? Because whenever I look at you, everyone else disappears.",romantic,international,opening,initial,female,website,4.7,0.78,0,1,1
"Is this the Hogwarts Express? Because it feels like you and I are headed somewhere magical.",clever,international,opening,initial,neutral,website,4.3,0.7,0,1,0
"Do you have a sunburn, or are you always this hot?",cheesy,international,opening,initial,female,website,2.9,0.38,0,1,1
"Are you a parking ticket? 'Cause you've got "fine" written all over you.",cheesy,international,opening,initial,female,website,3.2,0.41,0,1,1
"Is your dad a baker? Because you're a cutie pie!",cheesy,international,opening,initial,female,website,3.0,0.39,0,1,1
"Do you have a mirror in your pocket? Because I can see myself in your pants.",bold,international,opening,initial,female,website,2.5,0.3,0,1,0
"Are you an alien? Because you just abducted my heart.",cheesy,international,opening,initial,female,website,3.4,0.45,0,1,1
"Is your name Cinderella? Because I see that dress disappearing at midnight.",bold,international,opening,initial,female,website,2.8,0.35,0,1,0
"Do you believe in fate? Because I think we were meant to meet.",romantic,international,opening,initial,female,website,4.5,0.74,0,1,0
"Are you a loan? Because you have my interest.",clever,international,opening,initial,female,website,4.0,0.62,0,1,0
"I'm not a photographer, but I can picture us together.",smooth,international,opening,initial,female,website,4.2,0.68,0,0,0
"Do you have a name or can I call you mine?",smooth,international,opening,initial,female,website,4.3,0.7,0,1,0
"I was wondering if you had an extra heart, because mine was just stolen.",romantic,international,opening,initial,female,website,4.6,0.76,0,0,1
"If beauty were time, you'd be eternity.",romantic,international,compliment,initial,female,website,4.8,0.82,0,0,1
"You must be a magician because every time I look at you, everyone else disappears.",romantic,international,compliment,initial,female,website,4.7,0.8,0,0,1
"I'm not usually this forward, but I had to meet you.",direct,international,opening,initial,female,website,4.4,0.72,0,0,0
"If I could rearrange the alphabet, I'd put U and I together.",cheesy,international,opening,initial,female,website,3.9,0.6,0,0,0
"You're like a dream I never want to wake up from.",romantic,international,compliment,initial,female,website,4.9,0.85,0,0,1
"I think my heart just skipped a beat when you smiled.",romantic,international,response,initial,female,website,4.5,0.78,0,0,1
"You're the reason I believe in love at first sight.",romantic,international,compliment,initial,female,website,4.7,0.81,0,0,1
"I don't need to see the stars when I can look at your eyes.",romantic,international,compliment,initial,female,website,4.8,0.83,0,0,1
"You make my heart smile.",romantic,international,compliment,initial,neutral,website,4.6,0.79,0,0,1
"I was going to say something clever, but you left me speechless.",smooth,international,opening,initial,female,website,4.3,0.71,0,0,1
"You're more beautiful than the most perfect sunset.",romantic,international,compliment,initial,female,website,4.7,0.8,0,0,1
"I think you're the missing piece I've been searching for.",romantic,international,opening,initial,neutral,website,4.5,0.77,0,0,1
"Your smile is brighter than the sun.",romantic,international,compliment,initial,female,website,4.4,0.75,0,0,1
"I didn't believe in destiny until now.",romantic,international,opening,initial,female,website,4.6,0.79,0,0,0
"You're the best thing that's happened to me all day.",smooth,international,response,initial,neutral,website,4.2,0.7,0,0,1
"I feel like I've known you forever, even though we just met.",romantic,international,opening,initial,neutral,website,4.5,0.76,0,0,0
"You're the answer to every prayer I never prayed.",romantic,international,compliment,initial,female,website,4.9,0.86,0,0,1
"Are you a 90 degree angle? Because you're looking right.",funny,international,opening,initial,female,website,4.0,0.65,0,1,0
"Is your name Ariel? Because we mermaid for each other.",funny,international,opening,initial,female,website,3.8,0.63,0,1,0
"Are you made of grapes? Because you're fine and I want wine.",funny,international,opening,initial,female,website,3.9,0.64,0,1,1
"Do you have a sunburn or are you always this hot? Just kidding, that was terrible.",funny,international,opening,initial,female,website,3.7,0.62,0,1,1
"Are you a dictionary? Because you're adding meaning to my life.",clever,international,opening,initial,female,website,4.2,0.68,0,1,0
"Is your name Google? Because you have everything I've been searching for, and I'm not even talking about the internet.",clever,international,opening,initial,female,website,4.3,0.7,0,1,0
"Are you a bank loan? Because you have my interest and I'm willing to pay it back over a lifetime.",clever,international,opening,initial,female,website,4.1,0.67,0,1,0
"Do you like Star Wars? Because Yoda only one for me! And I'm not even a Jedi.",funny,international,opening,initial,neutral,website,4.0,0.66,0,1,0
"Are you a time traveler? Because I see you in my future, and I've checked - it looks pretty good.",clever,international,opening,initial,female,website,4.4,0.72,0,1,0
"Is your name Wi-fi? Because I'm really feeling a connection, and I hope it doesn't drop.",funny,international,opening,initial,female,website,3.9,0.65,0,1,0
"I don't have a pickup line. I just wanted to say you're stunning.",direct,international,opening,initial,female,website,4.7,0.8,0,0,1
"Normally I'd think of something clever to say, but you left me speechless.",direct,international,opening,initial,female,website,4.6,0.79,0,0,1
"I'm not usually this forward, but I had to say hello.",direct,international,opening,initial,female,website,4.5,0.77,0,0,0
"I'm supposed to be doing something else, but I can't stop looking at you.",direct,international,opening,initial,female,website,4.4,0.75,0,0,1
"I'll stop staring when you say yes to coffee.",direct,international,opening,initial,female,website,4.3,0.73,0,0,0
"I know this is forward, but would you like to have dinner with me?",direct,international,opening,initial,female,website,4.6,0.78,0,1,0
"I don't believe in wasting time. Would you like to go out sometime?",direct,international,opening,initial,neutral,website,4.5,0.76,0,1,0
"I'm going to be honest - I think you're amazing and I'd like to get to know you.",direct,international,opening,initial,female,website,4.7,0.81,0,0,1
"Life's too short for games. Can I take you out?",direct,international,opening,initial,female,website,4.4,0.74,0,1,0
"I don't have a clever line. I just think you're beautiful.",direct,international,opening,initial,female,website,4.8,0.83,0,0,1
"That's interesting. Tell me more.",smooth,international,response,middle,neutral,website,4.0,0.7,0,0,0
"I love your perspective on that.",smooth,international,response,middle,neutral,website,4.2,0.72,0,0,1
"You have a really great way of looking at things.",smooth,international,response,middle,neutral,website,4.3,0.74,0,0,1
"That says a lot about you, and I like what I'm hearing.",smooth,international,response,middle,neutral,website,4.4,0.76,0,0,1
"You're not just beautiful, you're interesting too.",smooth,international,response,middle,female,website,4.5,0.78,0,0,1
"I could listen to you talk all day.",romantic,international,response,middle,neutral,website,4.6,0.8,0,0,1
"You make even ordinary things sound fascinating.",romantic,international,response,middle,neutral,website,4.4,0.77,0,0,1
"I'm really enjoying this conversation.",smooth,international,response,middle,neutral,website,4.2,0.73,0,0,0
"You have a great sense of humor.",smooth,international,response,middle,neutral,website,4.3,0.75,0,0,1
"That's actually really impressive.",smooth,international,response,middle,neutral,website,4.1,0.71,0,0,1
"So, what's your story?",smooth,international,followup,middle,neutral,website,4.0,0.68,0,1,0
"Tell me something about yourself that would surprise me.",playful,international,followup,middle,neutral,website,4.2,0.7,0,1,0
"What's the most adventurous thing you've ever done?",playful,international,followup,middle,neutral,website,4.1,0.69,0,1,0
"If you could travel anywhere right now, where would you go?",playful,international,followup,middle,neutral,website,4.0,0.67,0,1,0
"What makes you genuinely happy?",romantic,international,followup,middle,neutral,website,4.5,0.76,0,1,0
"What's your idea of a perfect day?",romantic,international,followup,middle,neutral,website,4.4,0.75,0,1,0
"What's something you're passionate about?",smooth,international,followup,middle,neutral,website,4.3,0.74,0,1,0
"What's the best compliment you've ever received?",smooth,international,followup,middle,neutral,website,4.2,0.72,0,1,0
"What's something you've always wanted to try?",playful,international,followup,middle,neutral,website,4.1,0.7,0,1,0
"If you had a superpower, what would it be?",playful,international,followup,middle,neutral,website,4.0,0.71,0,1,0
"What's your favorite way to spend a weekend?",smooth,international,followup,middle,neutral,website,3.9,0.69,0,1,0
"What's the best meal you've ever had?",smooth,international,followup,middle,neutral,website,3.8,0.68,0,1,0
"What's something you're really good at?",smooth,international,followup,middle,neutral,website,4.1,0.72,0,1,0
"What's the most spontaneous thing you've ever done?",playful,international,followup,middle,neutral,website,4.2,0.73,0,1,0
"What's your favorite thing about yourself?",romantic,international,followup,middle,neutral,website,4.6,0.78,0,1,1
"What's something not many people know about you?",smooth,international,followup,middle,neutral,website,4.3,0.75,0,1,0
"What's your biggest dream?",romantic,international,followup,middle,neutral,website,4.7,0.8,0,1,0
"What's the best advice you've ever received?",smooth,international,followup,middle,neutral,website,4.2,0.74,0,1,0
"What's something you're looking forward to?",smooth,international,followup,middle,neutral,website,4.1,0.72,0,1,0
"What's your favorite memory?",romantic,international,followup,middle,neutral,website,4.5,0.77,0,1,0
"What makes you laugh the most?",playful,international,followup,middle,neutral,website,4.0,0.7,0,1,0
"What's your favorite thing to do when you have free time?",smooth,international,followup,middle,neutral,website,3.9,0.69,0,1,0
"What's something you're proud of?",smooth,international,followup,middle,neutral,website,4.2,0.73,0,1,0
"What's the most beautiful place you've ever been?",romantic,international,followup,middle,neutral,website,4.4,0.76,0,1,0
"What's something you've learned recently?",smooth,international,followup,middle,neutral,website,4.1,0.72,0,1,0
"What's your favorite quality in a person?",romantic,international,followup,middle,neutral,website,4.5,0.78,0,1,0
"What's something you'd like to learn?",smooth,international,followup,middle,neutral,website,4.0,0.71,0,1,0
"What's your idea of a perfect relationship?",romantic,international,followup,advanced,neutral,website,4.6,0.79,0,1,0
"What's the most important thing in life to you?",romantic,international,followup,advanced,neutral,website,4.7,0.81,0,1,0
"What's something you value most in friendship?",smooth,international,followup,middle,neutral,website,4.3,0.75,0,1,0
"What's your favorite way to show someone you care?",romantic,international,followup,advanced,neutral,website,4.5,0.78,0,1,0
"What's something you're grateful for today?",romantic,international,followup,middle,neutral,website,4.4,0.77,0,1,0
"What's the best gift you've ever received?",smooth,international,followup,middle,neutral,website,4.1,0.73,0,1,0
"What's your favorite thing to do on a rainy day?",smooth,international,followup,middle,neutral,website,3.8,0.7,0,1,0
"What's something that always makes you smile?",romantic,international,followup,middle,neutral,website,4.3,0.76,0,1,0
"What's your favorite season and why?",smooth,international,followup,middle,neutral,website,3.9,0.71,0,1,0
"What's the best book you've read recently?",smooth,international,followup,middle,neutral,website,4.0,0.72,0,1,0
"What's your favorite type of music?",smooth,international,followup,middle,neutral,website,3.7,0.69,0,1,0
"What's something you've always wanted to ask me?",playful,international,followup,middle,neutral,website,4.2,0.74,0,1,0
"What's your favorite thing about where you live?",smooth,international,followup,middle,neutral,website,3.8,0.7,0,1,0
"What's something you're excited about right now?",smooth,international,followup,middle,neutral,website,4.1,0.73,0,1,0
"What's your favorite childhood memory?",romantic,international,followup,middle,neutral,website,4.5,0.78,0,1,0
"What's something you'd tell your younger self?",smooth,international,followup,middle,neutral,website,4.3,0.76,0,1,0
"What's your favorite way to relax?",smooth,international,followup,middle,neutral,website,3.9,0.71,0,1,0
"What's something you find really attractive in someone?",romantic,international,followup,advanced,neutral,website,4.6,0.79,0,1,0
"What's your favorite quality about yourself?",smooth,international,followup,middle,neutral,website,4.2,0.75,0,1,1
"What's something that inspires you?",romantic,international,followup,middle,neutral,website,4.4,0.77,0,1,0
"What's your idea of a perfect evening?",romantic,international,followup,middle,neutral,website,4.5,0.78,0,1,0
"What's something you're really looking forward to in the future?",romantic,international,followup,middle,neutral,website,4.3,0.76,0,1,0
"What's your favorite thing about conversations like this?",smooth,international,followup,middle,neutral,website,4.1,0.74,0,1,0
"What's something you wish more people understood about you?",romantic,international,followup,advanced,neutral,website,4.7,0.8,0,1,0
"What's your favorite thing to do when you're alone?",smooth,international,followup,middle,neutral,website,4.0,0.73,0,1,0
"What's something that always makes your day better?",romantic,international,followup,middle,neutral,website,4.4,0.77,0,1,0
"What's your favorite way to connect with someone?",romantic,international,followup,advanced,neutral,website,4.6,0.79,0,1,0
"Wewe ni kama satellite - una-update my world view.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.72,0,0,1
"Nimeku-follow kama important thread.",playful,mixed,response,middle,female,manual_entry,4.0,0.68,0,0,0
"Ukinitaka niku-subscribe, because you're premium content.",romantic,mixed,followup,advanced,female,manual_entry,4.5,0.76,0,0,1
"Wewe ni kama Nairobi skyline - breathtaking at night.",romantic,kenyan,compliment,initial,female,manual_entry,4.7,0.79,0,0,1
"Nimeku-save as contact, because you're essential.",smooth,mixed,response,middle,female,manual_entry,4.2,0.71,0,0,1
"Kama ni kukosa petrol, ningekuchukua kwa baiskeli.",cheesy,kenyan,opening,initial,female,manual_entry,3.0,0.52,0,0,0
"Wewe ni kama hot towel - unaninipa warmth.",smooth,kenyan,compliment,initial,female,manual_entry,4.1,0.7,0,0,1
"Nimeku-upload to my heart, you're permanent storage.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.78,0,0,1
"Sema nikiku-send friend request, uta-accept?",playful,sheng,opening,initial,female,manual_entry,4.0,0.66,0,1,0
"Unajua hata kama ni spam, bado ningeku-open.",bold,sheng,response,middle,female,manual_entry,3.8,0.63,0,0,1
"Kama ni kukosa blanket, ningekufunika with attention.",cheesy,kenyan,opening,initial,female,manual_entry,3.1,0.54,0,0,0
"Wewe ni kama morning dew - fresh na beautiful.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.81,0,0,1
"Nimeku-set as wallpaper, you're my daily view.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.8,0,0,1
"Ukinitaka niku-refresh, because you're worth reloading.",playful,mixed,followup,middle,female,manual_entry,4.1,0.69,0,0,0
"Wewe ni kama Kenyan sunrise - huanza day yangu vizuri.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.74,0,0,1
"Nimeku-save in cloud, because you're too important to lose.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.85,0,0,1
"Sema nikiku-add kwa WhatsApp, uta-ni-save?",playful,sheng,opening,initial,female,manual_entry,4.0,0.67,0,1,0
"Unajua hata kama una DND, bado ningekupigia.",bold,sheng,response,middle,female,manual_entry,3.9,0.65,0,0,0
"Kama ni kukosa umbrella, ningekufunika na mikono yangu.",cheesy,kenyan,opening,initial,female,manual_entry,3.2,0.55,0,0,0
"Wewe ni kama full battery - unaninipa energy.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.72,0,0,1
"Nimeku-bookmark my life, you're the important part.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Ukinitaka niku-restart, because life was boring before you.",romantic,mixed,followup,advanced,female,manual_entry,4.6,0.77,0,0,1
"Wewe ni kama Karura Forest - peaceful na beautiful.",romantic,kenyan,compliment,initial,female,manual_entry,4.7,0.79,0,0,1
"Nimeku-save as favorite location, you're where I want to be.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.84,0,0,1
"Unajua hata kama ni premium, bado ningeku-subscribe.",bold,sheng,response,middle,female,manual_entry,4.0,0.68,0,0,1
"Kama ni kukosa flashlight, ningekuonesha njia with my phone.",cheesy,kenyan,opening,initial,female,manual_entry,3.3,0.56,0,0,0
"Wewe ni kama cold soda mchana joto - exactly what I need.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.73,0,0,1
"Nimeku-priority message, you're always important.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.8,0,0,1
"Sema nikiku-tag katika post, uta-like?",playful,sheng,opening,initial,female,manual_entry,4.1,0.69,0,1,0
"Unajua hata kama utani-block, bado nitaenda kukutafuta.",bold,sheng,followup,middle,female,manual_entry,3.7,0.62,0,0,1
"Kama ni kukosa charger, ningekupa energy yangu.",cheesy,kenyan,opening,initial,female,manual_entry,3.4,0.57,0,0,0
"Wewe ni kama perfect playlist - unaninipa good vibes.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.75,0,0,1
"Nimeku-save as emergency contact, you're my first call.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.83,0,0,1
"Ukinitaka niku-update, because you're my latest version.",clever,mixed,followup,advanced,female,manual_entry,4.3,0.72,0,0,1
"Wewe ni kama Nairobi rain - refreshing na needed.",romantic,kenyan,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as shortcut, for quick access to happiness.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.86,0,0,1
"Unajua hata kama uta-report, bado ningeku-message.",bold,sheng,followup,middle,female,manual_entry,3.6,0.6,0,0,0
"Kama ni kukosa pillow, ningekupa shoulder yangu.",cheesy,kenyan,opening,initial,female,manual_entry,3.5,0.58,0,0,0
"Wewe ni kama morning coffee - huinspire my day.",smooth,kenyan,compliment,initial,female,manual_entry,4.6,0.77,0,0,1
"Nimeku-pin to start, you're where my day begins.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Sema nikiku-comment, uta-reply?",playful,sheng,opening,initial,female,manual_entry,4.2,0.7,0,1,0
"Unajua hata kama uta-delete, bado nita-save screenshot.",bold,sheng,response,middle,female,manual_entry,3.8,0.64,0,0,0
"Kama ni kukosa heater, ningekukumbatia for warmth.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.59,0,0,0
"Wewe ni kama favorite song - nakusikiliza repeatedly.",romantic,kenyan,compliment,initial,female,manual_entry,4.7,0.8,0,0,1
"Nimeku-save as note, because I don't want to forget you.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.85,0,0,1
"Ukinitaka niku-download again, because once wasn't enough.",romantic,mixed,followup,advanced,female,manual_entry,4.5,0.76,0,0,1
"Wewe ni kama Kenyan sunset - beautiful end to my day.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.83,0,0,1
"Nimeku-set as reminder, to appreciate you daily.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.87,0,0,1
"Unajua hata kama uta-unfriend, bado tutakuwa mutuals in real life.",bold,sheng,followup,advanced,female,manual_entry,3.9,0.66,0,0,0
"Kama ni kukosa calendar, ningekukumbatia kila siku.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.6,0,0,0
"Wewe ni kama perfect photo - unanifanya nitaka ku-save.",smooth,kenyan,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as draft message, because you're worth perfecting.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.81,0,0,1
"Sema nikiku-share, uta-forward?",playful,sheng,opening,initial,female,manual_entry,4.1,0.68,0,1,0
"Unajua hata kama uta-mute, bado nita-send voice note.",bold,sheng,response,middle,female,manual_entry,3.7,0.62,0,0,0
"Kama ni kukosa playlist, ningekuimbia kila siku.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.61,0,0,0
