line_text,category,style,context,stage,target_gender,quality_score,originality_score
"Sema ukinitaka ni-kujoin group ya wewe na mimi.",direct,sheng,opening,initial,female,4.00,4.60
"Wapi nimekosea? Maana nimekosa mwezi mzima.",playful,swahili,opening,initial,female,4.20,4.50
"Unajua hata simu inakata, lakini mazungumzo yetu hayakati.",romantic,swahili,followup,middle,neutral,4.50,4.30
"Kama ni kukosa simu, ningekupa yangu with unlimited minutes.",cheesy,kenyan,opening,initial,female,3.30,4.10
"Wewe ni kama satellite - you make my world go round.",smooth,mixed,compliment,initial,female,4.30,4.20
"Nimeku-block distractions, you're my main focus.",romantic,mixed,response,advanced,female,4.70,4.30
"Ukinitaka niku-backup, because losing you isn't an option.",romantic,mixed,followup,advanced,female,4.60,4.40
"Wewe ni kama solar panel - unanipa power.",smooth,kenyan,compliment,initial,female,4.20,4.50
"Nimeku-silence notifications, your voice is all I want.",romantic,mixed,response,advanced,female,4.80,4.60
"Sema nikikupa number yangu, uta-i-save kwa nani?",playful,sheng,opening,initial,female,4.10,4.40
"Unajua hata darasa lingine, but mimi niko kwa class yako.",clever,sheng,response,middle,female,4.30,4.50
"Kama ni kukosa baiskeli, ningekuchukua piggy-back.",cheesy,kenyan,opening,initial,female,3.20,4.00
"Wewe ni kama generator - unaninipa light giza.",smooth,kenyan,compliment,initial,female,4.10,4.30
"Nimeku-close other tabs, you're my homepage.",romantic,mixed,response,advanced,female,4.60,4.50
"Ukinitaka niku-cache, for faster access always.",playful,mixed,followup,middle,female,4.00,4.20
"Wewe ni kama emergency exit - you show me the way.",smooth,mixed,compliment,initial,female,4.20,4.40
"Nimeku-minimize everything else, you're my main window.",romantic,mixed,response,advanced,female,4.70,4.30
"Sema nikikupigia, uta-jibu ama uta-forward?",playful,sheng,opening,initial,female,4.00,4.50
"Unajua hata kama ni fake account, bado ningeku-follow.",bold,sheng,response,middle,female,3.90,4.40
"Kama ni kukosa dawa, ningeku-treat with care.",cheesy,kenyan,opening,initial,female,3.10,4.10
"Wewe ni kama calculator - you solve my problems.",smooth,mixed,compliment,initial,female,4.00,4.20
"Nimeku-book for next year, because you're worth waiting for.",romantic,mixed,response,advanced,female,4.80,4.70
"Are you a parking ticket? Because you have FINE written all over you.",cheesy,international,opening,initial,female,3.50,3.00
"If you were a triangle you'd be acute one.",clever,international,opening,initial,female,4.00,4.20
"Is your name Google? Because you have everything I'm searching for.",cheesy,international,opening,initial,female,3.80,3.50
"Are you made of copper and tellurium? Because you're Cu-Te.",clever,international,opening,initial,female,4.10,4.50
"Do you have a map? I keep getting lost in your eyes.",cheesy,international,opening,initial,female,3.20,2.80
"Is your dad a boxer? Because you're a knockout!",cheesy,international,opening,initial,female,3.00,2.50
"Are you French? Because Eiffel for you.",clever,international,opening,initial,female,4.20,4.00
"Do you like Star Wars? Because Yoda one for me!",funny,international,opening,initial,neutral,3.90,3.80
"Are you a time traveler? Because I see you in my future.",romantic,international,opening,initial,female,4.50,4.00
"Is your name Wi-fi? Because I'm really feeling a connection.",cheesy,international,opening,initial,female,3.60,3.20
"Do you believe in love at first sight, or should I walk by again?",playful,international,opening,initial,female,4.30,4.10
"Are you a bank loan? Because you have my interest.",clever,international,opening,initial,female,4.00,4.30
"Is there an airport nearby or is that just my heart taking off?",cheesy,international,opening,initial,female,3.10,2.90
"Do you have a Band-Aid? I just scraped my knee falling for you.",cheesy,international,opening,initial,female,3.30,3.00
"Are you a campfire? Because you're hot and I want s'more.",cheesy,international,opening,initial,female,3.40,3.20
"Is your dad an artist? Because you're a masterpiece.",smooth,international,compliment,initial,female,4.40,3.80
"Do you have a pencil? Because I want to erase your past and write our future.",romantic,international,opening,initial,female,4.60,4.20
"Are you a camera? Because every time I look at you, I smile.",cheesy,international,opening,initial,female,3.50,3.10
"Is your name Chapstick? Because you're da balm!",funny,international,opening,initial,neutral,3.80,3.90
"Do you like raisins? How do you feel about a date?",clever,international,opening,initial,female,4.10,4.40
"Are you a magician? Because whenever I look at you, everyone else disappears.",romantic,international,opening,initial,female,4.70,4.10
"Is this the Hogwarts Express? Because it feels like you and I are headed somewhere magical.",clever,international,opening,initial,neutral,4.30,4.50
"Do you have a sunburn, or are you always this hot?",cheesy,international,opening,initial,female,2.90,2.50
"Are you a parking ticket? 'Cause you've got ""fine"" written all over you.",cheesy,international,opening,initial,female,3.20,2.80
"Is your dad a baker? Because you're a cutie pie!",cheesy,international,opening,initial,female,3.00,2.70
"Do you have a mirror in your pocket? Because I can see myself in your pants.",bold,international,opening,initial,female,2.50,2.00
"Are you an alien? Because you just abducted my heart.",cheesy,international,opening,initial,female,3.40,3.10
"Is your name Cinderella? Because I see that dress disappearing at midnight.",bold,international,opening,initial,female,2.80,2.90
"Do you believe in fate? Because I think we were meant to meet.",romantic,international,opening,initial,female,4.50,3.90
"Are you a loan? Because you have my interest.",clever,international,opening,initial,female,4.00,4.20
"I'm not a photographer, but I can picture us together.",smooth,international,opening,initial,female,4.20,3.80
"Do you have a name or can I call you mine?",smooth,international,opening,initial,female,4.30,4.00
"I was wondering if you had an extra heart, because mine was just stolen.",romantic,international,opening,initial,female,4.60,4.10
"If beauty were time, you'd be eternity.",romantic,international,compliment,initial,female,4.80,4.30
"You must be a magician because every time I look at you, everyone else disappears.",romantic,international,compliment,initial,female,4.70,4.00
"I'm not usually this forward, but I had to meet you.",direct,international,opening,initial,female,4.40,3.90
"If I could rearrange the alphabet, I'd put U and I together.",cheesy,international,opening,initial,female,3.90,3.50
"You're like a dream I never want to wake up from.",romantic,international,compliment,initial,female,4.90,4.20
"I think my heart just skipped a beat when you smiled.",romantic,international,response,initial,female,4.50,4.00
"You're the reason I believe in love at first sight.",romantic,international,compliment,initial,female,4.70,4.10
"I don't need to see the stars when I can look at your eyes.",romantic,international,compliment,initial,female,4.80,4.30
"You make my heart smile.",romantic,international,compliment,initial,neutral,4.60,3.80
"I was going to say something clever, but you left me speechless.",smooth,international,opening,initial,female,4.30,4.00
"You're more beautiful than the most perfect sunset.",romantic,international,compliment,initial,female,4.70,3.90
"I think you're the missing piece I've been searching for.",romantic,international,opening,initial,neutral,4.50,4.10
"Your smile is brighter than the sun.",romantic,international,compliment,initial,female,4.40,3.70
"I didn't believe in destiny until now.",romantic,international,opening,initial,female,4.60,4.00
"You're the best thing that's happened to me all day.",smooth,international,response,initial,neutral,4.20,3.80
"I feel like I've known you forever, even though we just met.",romantic,international,opening,initial,neutral,4.50,4.20
"You're the answer to every prayer I never prayed.",romantic,international,compliment,initial,female,4.90,4.50
"Are you a 90 degree angle? Because you're looking right.",funny,international,opening,initial,female,4.00,4.30
"Is your name Ariel? Because we mermaid for each other.",funny,international,opening,initial,female,3.80,4.10
"Are you made of grapes? Because you're fine and I want wine.",funny,international,opening,initial,female,3.90,4.00
"Do you have a sunburn or are you always this hot? Just kidding, that was terrible.",funny,international,opening,initial,female,3.70,3.90
"Are you a dictionary? Because you're adding meaning to my life.",clever,international,opening,initial,female,4.20,4.40
"Is your name Google? Because you have everything I've been searching for, and I'm not even talking about the internet.",clever,international,opening,initial,female,4.30,4.50
"Are you a bank loan? Because you have my interest and I'm willing to pay it back over a lifetime.",clever,international,opening,initial,female,4.10,4.60
"Do you like Star Wars? Because Yoda only one for me! And I'm not even a Jedi.",funny,international,opening,initial,neutral,4.00,4.20
"Are you a time traveler? Because I see you in my future, and I've checked - it looks pretty good.",clever,international,opening,initial,female,4.40,4.30
"Is your name Wi-fi? Because I'm really feeling a connection, and I hope it doesn't drop.",funny,international,opening,initial,female,3.90,4.00
"I don't have a pickup line. I just wanted to say you're stunning.",direct,international,opening,initial,female,4.70,4.80
"Normally I'd think of something clever to say, but you left me speechless.",direct,international,opening,initial,female,4.60,4.50
"I'm not usually this forward, but I had to say hello.",direct,international,opening,initial,female,4.50,4.40
"I'm supposed to be doing something else, but I can't stop looking at you.",direct,international,opening,initial,female,4.40,4.30
"I'll stop staring when you say yes to coffee.",direct,international,opening,initial,female,4.30,4.20
"I know this is forward, but would you like to have dinner with me?",direct,international,opening,initial,female,4.60,4.60
"I don't believe in wasting time. Would you like to go out sometime?",direct,international,opening,initial,neutral,4.50,4.50
"I'm going to be honest - I think you're amazing and I'd like to get to know you.",direct,international,opening,initial,female,4.70,4.70
"Life's too short for games. Can I take you out?",direct,international,opening,initial,female,4.40,4.40
"I don't have a clever line. I just think you're beautiful.",direct,international,opening,initial,female,4.80,4.80
"That's interesting. Tell me more.",smooth,international,response,middle,neutral,4.00,3.50
"I love your perspective on that.",smooth,international,response,middle,neutral,4.20,3.80
"You have a really great way of looking at things.",smooth,international,response,middle,neutral,4.30,4.00
"That says a lot about you, and I like what I'm hearing.",smooth,international,response,middle,neutral,4.40,4.20
"You're not just beautiful, you're interesting too.",smooth,international,response,middle,female,4.50,4.10
"I could listen to you talk all day.",romantic,international,response,middle,neutral,4.60,4.30
"You make even ordinary things sound fascinating.",romantic,international,response,middle,neutral,4.40,4.20
"I'm really enjoying this conversation.",smooth,international,response,middle,neutral,4.20,3.90
"You have a great sense of humor.",smooth,international,response,middle,neutral,4.30,4.00
"That's actually really impressive.",smooth,international,response,middle,neutral,4.10,3.80
"So, what's your story?",smooth,international,followup,middle,neutral,4.00,3.50
"Tell me something about yourself that would surprise me.",playful,international,followup,middle,neutral,4.20,4.00
"What's the most adventurous thing you've ever done?",playful,international,followup,middle,neutral,4.10,3.90
"If you could travel anywhere right now, where would you go?",playful,international,followup,middle,neutral,4.00,3.80
"What makes you genuinely happy?",romantic,international,followup,middle,neutral,4.50,4.20
"What's your idea of a perfect day?",romantic,international,followup,middle,neutral,4.40,4.10
"What's something you're passionate about?",smooth,international,followup,middle,neutral,4.30,4.00
"What's the best compliment you've ever received?",smooth,international,followup,middle,neutral,4.20,3.90
"What's something you've always wanted to try?",playful,international,followup,middle,neutral,4.10,3.80
"If you had a superpower, what would it be?",playful,international,followup,middle,neutral,4.00,4.10
"What's your favorite way to spend a weekend?",smooth,international,followup,middle,neutral,3.90,3.70
"What's the best meal you've ever had?",smooth,international,followup,middle,neutral,3.80,3.60
"What's something you're really good at?",smooth,international,followup,middle,neutral,4.10,3.90
"What's the most spontaneous thing you've ever done?",playful,international,followup,middle,neutral,4.20,4.00
"What's your favorite thing about yourself?",romantic,international,followup,middle,neutral,4.60,4.30
"What's something not many people know about you?",smooth,international,followup,middle,neutral,4.30,4.10
"What's your biggest dream?",romantic,international,followup,middle,neutral,4.70,4.40
"What's the best advice you've ever received?",smooth,international,followup,middle,neutral,4.20,4.00
"What's something you're looking forward to?",smooth,international,followup,middle,neutral,4.10,3.90
"What's your favorite memory?",romantic,international,followup,middle,neutral,4.50,4.20
"What makes you laugh the most?",playful,international,followup,middle,neutral,4.00,3.80
"What's your favorite thing to do when you have free time?",smooth,international,followup,middle,neutral,3.90,3.70
"What's something you're proud of?",smooth,international,followup,middle,neutral,4.20,4.00
"What's the most beautiful place you've ever been?",romantic,international,followup,middle,neutral,4.40,4.10
"What's something you've learned recently?",smooth,international,followup,middle,neutral,4.10,3.90
"What's your favorite quality in a person?",romantic,international,followup,middle,neutral,4.50,4.20
"What's something you'd like to learn?",smooth,international,followup,middle,neutral,4.00,3.80
"What's your idea of a perfect relationship?",romantic,international,followup,advanced,neutral,4.60,4.30
"What's the most important thing in life to you?",romantic,international,followup,advanced,neutral,4.70,4.40
"What's something you value most in friendship?",smooth,international,followup,middle,neutral,4.30,4.10
"What's your favorite way to show someone you care?",romantic,international,followup,advanced,neutral,4.50,4.20
"What's something you're grateful for today?",romantic,international,followup,middle,neutral,4.40,4.10
"What's the best gift you've ever received?",smooth,international,followup,middle,neutral,4.10,3.90
"What's your favorite thing to do on a rainy day?",smooth,international,followup,middle,neutral,3.80,3.60
"What's something that always makes you smile?",romantic,international,followup,middle,neutral,4.30,4.00
"What's your favorite season and why?",smooth,international,followup,middle,neutral,3.90,3.70
"What's the best book you've read recently?",smooth,international,followup,middle,neutral,4.00,3.80
"What's your favorite type of music?",smooth,international,followup,middle,neutral,3.70,3.50
"What's something you've always wanted to ask me?",playful,international,followup,middle,neutral,4.20,4.10
"What's your favorite thing about where you live?",smooth,international,followup,middle,neutral,3.80,3.60
"What's something you're excited about right now?",smooth,international,followup,middle,neutral,4.10,3.90
"What's your favorite childhood memory?",romantic,international,followup,middle,neutral,4.50,4.20
"What's something you'd tell your younger self?",smooth,international,followup,middle,neutral,4.30,4.10
"What's your favorite way to relax?",smooth,international,followup,middle,neutral,3.90,3.70
"What's something you find really attractive in someone?",romantic,international,followup,advanced,neutral,4.60,4.30
"What's your favorite quality about yourself?",smooth,international,followup,middle,neutral,4.20,4.00
"What's something that inspires you?",romantic,international,followup,middle,neutral,4.40,4.10
"What's your idea of a perfect evening?",romantic,international,followup,middle,neutral,4.50,4.20
"What's something you're really looking forward to in the future?",romantic,international,followup,middle,neutral,4.30,4.00
"What's your favorite thing about conversations like this?",smooth,international,followup,middle,neutral,4.10,4.20
"What's something you wish more people understood about you?",romantic,international,followup,advanced,neutral,4.70,4.40
"What's your favorite thing to do when you're alone?",smooth,international,followup,middle,neutral,4.00,3.90
"What's something that always makes your day better?",romantic,international,followup,middle,neutral,4.40,4.10
"What's your favorite way to connect with someone?",romantic,international,followup,advanced,neutral,4.60,4.30
"Is your name Google? Because you have everything I've been searching for.",clever,international,opening,initial,neutral,3.80,3.50
"You must be tired because you've been running through my mind all day.",playful,international,opening,initial,neutral,3.50,3.50
"If you were a vegetable, you'd be a cutecumber.",funny,international,opening,initial,neutral,3.70,3.50
"Are you a parking ticket? Because you've got FINE written all over you.",cheesy,international,opening,initial,neutral,3.50,3.50
"Uko na GPS? Kwa sababu nimepotea kwenye macho yako.",playful,kenyan,opening,initial,neutral,4.20,4.00
"Nimekuwa na WiFi password yako kwa moyo wangu.",smooth,sheng,opening,initial,neutral,4.00,4.00
"Wewe ni kama Nairobi traffic - unavyonifanya nishikwe.",funny,kenyan,opening,initial,neutral,4.30,4.00
"Unatumia network gani? Ju connection yetu ni strong sana.",clever,sheng,opening,initial,neutral,4.10,4.00
"Si uko na magnet? Kwa maana kila wakati ninakuvutia.",playful,kenyan,opening,initial,neutral,3.90,4.00
"Unakaa na bundles za unlimited? Ju tungepata unlimited time.",clever,sheng,opening,initial,neutral,4.20,4.00
"Wewe ni kama chapati - round, soft, na nataka kukuonja.",funny,kenyan,opening,initial,neutral,3.80,4.00
"Kama ulikuwa airtime, ningekubuy kila siku.",cheesy,kenyan,opening,initial,neutral,3.50,4.00
"Nimekutag kwa heart yangu kama favorite contact.",smooth,sheng,response,initial,neutral,4.00,4.00
"Uko na insurance? Ju ninaweza kuanguka kwa upendo.",playful,kenyan,opening,initial,neutral,4.10,4.00
"Sio poa kuassume lakini nakuassume uko single.",direct,sheng,opening,initial,neutral,3.80,4.00
"Wewe ni kama ugali - basic but unanipatia life.",funny,kenyan,compliment,initial,neutral,4.00,4.00
"Kama ni kukupata, ningepayuka kila siku.",romantic,sheng,opening,initial,neutral,4.30,4.00
"Uko na vibe ya Nairobi - chaotic lakini ninaikupenda.",smooth,kenyan,compliment,initial,neutral,4.40,4.00
"Si uniforward contacts zako? Nikutie kwa emergency list.",playful,sheng,opening,initial,neutral,3.90,4.00
"Kama ulikuwa exam, ningekusoma usiku na mchana.",clever,kenyan,opening,initial,neutral,4.20,4.00
"Nimekuweka kwa Do Not Disturb list - wa moyo wangu.",smooth,sheng,response,initial,neutral,4.10,4.00
"Wewe ni kama Monday - tough lakini lazima nikubali.",funny,kenyan,opening,initial,neutral,3.70,4.00
"Uko na password? Ju nataka kuaccess heart yako.",clever,sheng,opening,initial,neutral,4.00,4.00
"Kama ni dating app, ningekuswipe right mara kumi.",playful,kenyan,opening,initial,neutral,4.10,4.00
"Unajua kunitext kila saa ni free - no charges.",smooth,sheng,followup,initial,neutral,3.80,4.00
"Wewe ni kama mandazi - sweet, warm, na napenda kukupick.",funny,kenyan,compliment,initial,neutral,4.00,4.00
"Si nikuinstall kwa phone na moyo pia?",clever,sheng,opening,initial,neutral,4.20,4.00
"Uko na license ya kuwa mrembo hivyo?",playful,kenyan,opening,initial,neutral,3.90,4.00
"Nimekupata kwa explore page ya moyo wangu.",smooth,sheng,response,initial,neutral,4.30,4.00
"Wewe ni kama KCB - unaniweka kwa balance.",clever,kenyan,compliment,initial,neutral,4.10,4.00
"Kama ulikuwa song, ningekuplay kwa repeat.",romantic,sheng,opening,initial,neutral,4.40,4.00
"Uko na first aid kit? Ju umevunja moyo wangu - kwa njia nzuri.",playful,kenyan,opening,initial,neutral,4.00,4.00
"Si unifollow back kwa real life pia?",funny,sheng,followup,initial,neutral,3.80,4.00
"Nimekusalimia na moyo wangu - unaskia?",romantic,kenyan,opening,initial,neutral,4.20,4.00
"Every time I see you, my heart does a little dance.",romantic,international,compliment,initial,neutral,4.50,4.00
"You're the reason I believe in chemistry.",romantic,international,opening,initial,neutral,4.60,4.00
"I could get lost in your eyes forever.",romantic,international,compliment,initial,neutral,4.40,4.00
"You make ordinary moments feel extraordinary.",romantic,international,response,initial,neutral,4.70,4.00
"I didn't believe in soulmates until I met you.",romantic,international,opening,initial,neutral,4.80,4.00
"Your smile could light up the darkest room.",romantic,international,compliment,initial,neutral,4.50,4.00
"I think the universe must have brought us together.",romantic,international,opening,initial,neutral,4.60,4.00
"You're the plot twist I never saw coming.",romantic,international,response,initial,neutral,4.70,4.00
"Time stops when I'm with you.",romantic,international,compliment,initial,neutral,4.90,4.00
"You're the best chapter in my story.",romantic,international,response,initial,neutral,4.80,4.00
"I never knew what I was missing until I found you.",romantic,international,opening,initial,neutral,4.70,4.00
"You're the melody that plays in my heart.",romantic,international,compliment,initial,neutral,4.60,4.00
"Every moment with you feels like a fairytale.",romantic,international,response,initial,neutral,4.50,4.00
"You're my favorite notification.",romantic,international,response,initial,neutral,4.40,4.00
"I could listen to you talk for hours and never get bored.",romantic,international,response,initial,neutral,4.60,4.00
"You're the sunshine on my cloudiest days.",romantic,international,compliment,initial,neutral,4.70,4.00
"I think you might be the one I've been searching for.",romantic,international,opening,initial,neutral,4.80,4.00
"You make me want to be a better person.",romantic,international,response,initial,neutral,4.90,4.00
"Your laugh is my favorite sound in the world.",romantic,international,compliment,initial,neutral,4.60,4.00
"I feel like I've known you my entire life.",romantic,international,response,initial,neutral,4.50,4.00
"You're the answer to questions I didn't know I had.",romantic,international,opening,initial,neutral,4.70,4.00
"Being with you feels like coming home.",romantic,international,response,initial,neutral,4.80,4.00
"You're the highlight of my every day.",romantic,international,compliment,initial,neutral,4.60,4.00
"I think my heart skips a beat every time you smile.",romantic,international,compliment,initial,neutral,4.50,4.00
"You're the person I want to share everything with.",romantic,international,response,initial,neutral,4.70,4.00
"Are you a carbon sample? Because I want to date you.",clever,international,opening,initial,neutral,4.10,4.00
"Do you have a pencil? Because I want to erase your past and write our future.",clever,international,opening,initial,neutral,4.50,4.00
"Are you a dictionary? Because you add meaning to my life.",clever,international,opening,initial,neutral,4.20,4.00
"If you were a triangle, you'd be acute one.",clever,international,opening,initial,neutral,4.00,4.00
"Are you a bank loan? Because you have my interest.",clever,international,opening,initial,neutral,4.00,4.00
"Do you have a name, or can I call you mine?",clever,international,opening,initial,neutral,4.30,4.00
"Are you a keyboard? Because you're just my type.",clever,international,opening,initial,neutral,4.10,4.00
"Is your dad a terrorist? Because you're the bomb.",clever,international,opening,initial,neutral,3.50,4.00
"Are you a beaver? Because daaaaam.",funny,international,opening,initial,neutral,3.90,4.00
"Do you like sales? Because if you're looking for a good one, clothing is 100% off at my place.",bold,international,opening,initial,neutral,3.20,4.00
"Are you a cat? Because you're purr-fect.",funny,international,opening,initial,neutral,3.80,4.00
"Do you have a mirror in your pocket? Because I can see myself in your pants... wait, that came out wrong.",funny,international,opening,initial,neutral,3.40,4.00
"Are you Netflix? Because I could watch you for hours.",clever,international,opening,initial,neutral,4.20,4.00
"If you were a fruit, you'd be a fine-apple.",funny,international,opening,initial,neutral,3.90,4.00
"Are you a magician's assistant? Because when I look at you, everyone else disappears.",clever,international,opening,initial,neutral,4.40,4.00
"Do you play soccer? Because you're a keeper.",clever,international,opening,initial,neutral,4.00,4.00
"Are you a library book? Because I'm checking you out.",clever,international,opening,initial,neutral,3.70,4.00
"If you were a vegetable, you'd be a cute-cumber.",funny,international,opening,initial,neutral,3.80,4.00
"Are you Australian? Because you meet all of my koala-fications.",funny,international,opening,initial,neutral,3.90,4.00
"Do you believe in love at first swipe?",clever,international,opening,initial,neutral,4.10,4.00
"Are you a charger? Because I'm dying without you.",clever,international,opening,initial,neutral,4.00,4.00
"If looks could kill, you'd be a weapon of mass destruction.",smooth,international,compliment,initial,neutral,4.30,4.00
"Are you my appendix? Because I don't understand how you work, but I want to take you out.",funny,international,opening,initial,neutral,3.60,4.00
"Do you like Star Wars? Because Yoda only one for me.",funny,international,opening,initial,neutral,4.00,4.00
"Are you a 45-degree angle? Because you're a-cute-y.",clever,international,opening,initial,neutral,4.10,4.00
"I had to come over and talk to you. You're stunning.",direct,international,opening,initial,neutral,4.70,4.00
"I'm not good at pickup lines, but I think you're beautiful.",direct,international,opening,initial,neutral,4.80,4.00
"Can I buy you a drink? I'd like to get to know you better.",direct,international,opening,initial,neutral,4.50,4.00
"I know this is forward, but would you like to have coffee sometime?",direct,international,opening,initial,neutral,4.60,4.00
"I think you're amazing and I'd love to take you out.",direct,international,opening,initial,neutral,4.70,4.00
"Life's too short. Can I take you to dinner?",direct,international,opening,initial,neutral,4.40,4.00
"I'm terrible at this, but I think you're really attractive.",direct,international,opening,initial,neutral,4.60,4.00
"I don't usually do this, but I couldn't leave without saying hi.",direct,international,opening,initial,neutral,4.50,4.00
"You caught my eye from across the room.",direct,international,opening,initial,neutral,4.40,4.00
"I'd regret it if I didn't at least introduce myself.",direct,international,opening,initial,neutral,4.60,4.00
"Can I get your number? I'd like to continue this conversation.",direct,international,followup,initial,neutral,4.30,4.00
"I'm going to be honest - I find you incredibly attractive.",direct,international,opening,initial,neutral,4.70,4.00
"Would you like to grab dinner with me this weekend?",direct,international,followup,initial,neutral,4.50,4.00
"I think we should get to know each other better.",direct,international,response,initial,neutral,4.40,4.00
"You seem interesting. Tell me about yourself.",direct,international,followup,initial,neutral,4.20,4.00
"I'm not leaving until I get your number.",bold,international,followup,initial,neutral,4.00,4.00
"What's your story? I'd love to hear it.",direct,international,followup,initial,neutral,4.30,4.00
"I have a feeling we'd get along really well.",direct,international,response,initial,neutral,4.50,4.00
"Let me take you on a proper date.",direct,international,followup,initial,neutral,4.60,4.00
"I think this is the start of something good.",direct,international,response,initial,neutral,4.70,4.00
"Uko na ubao? Kwa maana umenipoteza huku nimeanguka kwa upendo.",playful,kenyan,opening,initial,female,4.50,0.70
"Sio mkali, but ukinitazama hivyo, nitaanza kuchemka.",smooth,sheng,response,initial,female,4.70,0.75
"Unajua nini inanifanya nitabasamu? Notification kutoka kwako.",playful,kenyan,opening,initial,neutral,4.30,0.80
"Kama ni mbaya kuassume, then assume nikutake.",direct,sheng,opening,initial,female,4.00,0.65
"Hata kama sio programmer, najua you're my exception handler.",clever,mixed,opening,initial,female,4.20,0.70
"Uko single kama nilikuwa? Because hii connection ina ping poa.",playful,sheng,opening,initial,female,4.40,0.75
"Unajua kuskiza voicemail yako ni kama kunywa stoney mchana joto.",smooth,kenyan,response,middle,female,4.60,0.80
"Kama ni kukosa direction, ningekuuliza location yako.",cheesy,kenyan,opening,initial,female,3.80,0.60
"Hata ukiniignore, bado nitaendelea kuku-slide kwenye DMs.",bold,sheng,followup,middle,female,4.10,0.70
